company_name,company_address,created_at,available_data,text
SEFAG Zrt,"7400 Kaposvár, Bajcsy-Zsilinszky u. 21.   7401 Kaposvár Pf. 9.",24 Sep 2023,25 GB,"<p>The tourism establishments of <strong>SEFAG Zrt</strong>. attract their visitors, such as the Zselici Star Park near Kaposvr and the Ropolyi pihenhely, the Erdk Hza Visitor Center in Kaposvr, the Szigy Forestry School, as well as our resorts - the wild forest, the Gyertynosi Read.<br><br><strong>The company's network was successfully encrypted and compromised.</strong><br>The management is silent about the attack on their network, but we warn you, if you continue to remain silent and do not contact us, the following data will leak into the network:<br>Notarial documents, invoices, reports, certificates, residence permits, legal documents, financial sector, decisions, drawings,<br>banking, confidential data, insurance, and thousands of other confidential and sensitive company data.<br><br><strong>Last Warning!!!<br>We advise the SEFAG Zrt management to make the right decision and contact us. </strong>Otherwise, if you do not contact us, all data will be published and the storm of problems that will await you will be destructive.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
BELLSONICA CORPORATION,"630-18, Yamaguchi, Kosai-shi, Shizuoka",24 Sep 2023,17 GB,"<p>Our name, <strong>Bellsonica</strong>. Technology from our&nbsp;innovative enterprise strikes a clear note and rings throughout the industry. We work in highly specialized fields&nbsp;of engineering and technology. Our name itself&nbsp;reflects our field of work, and our special talent.<br><br><strong>The company's network was successfully hacked and compromised.</strong><br>We have <strong>more than 15GB of data</strong> such as:<br>Parts listings, orders, developments, design, backup data, accounting, credits, databases and thousands of other documents.<span style=""color: rgb(51, 51, 51); font-family: arial, helvetica, clean, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br><br></span><strong>Last Warning!!!<br>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong><span style=""color: rgb(51, 51, 51); font-family: arial, helvetica, clean, sans-serif; font-size: 13px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br></span></p>"
Instant Access Co,"Gate 3, OP21 Al Maktoum Airport St.Dubai Logistic City-DWC, 3rd floor Kharafi Building, Dubai – UAE.",09 Oct 2023,212 GB,"<p><strong>Instant Access</strong> is the foremost company involved in the sale and rental of quality construction-related equipment.<br><br><strong>The company was successfully encrypted and compromised.</strong><br>We've been in company network long enough to steal the most important documents from the servers.<br>Now <strong>we have 212GB of data</strong> at our disposal, such as:<br><span style=""text-decoration: underline;"">Client data!</span><br><span style=""text-decoration: underline;"">Thousands of passports, ID Card, Death Certificate, !</span><br><span style=""text-decoration: underline;"">Confidential and personal data of hundreds of employees!</span><br>Audit of financial statements, payment of salaries, taxes, reports, letters!<br>Legal docs, Documents from the Ministry of Justice, licenses, certificates, confidential Agreements and contracts!<br>Backup data, databases, insurance, and hundreds of thousands of other confidential and sensitive data of both the company and employees and clients.<br><br>We advise <strong>Instant Access</strong> management or IT dept to contact us and start negotiations, otherwise we leak all this data.<br>Letters with instructions have been sent to your corporate emails, use them and we will help you solve this problem.<br><strong>Assign a person to the position of negotiator, and tell him to contact us, we will explain everything and help you solve this problem.</strong><br><strong>Time is running out.</strong></p>"
Mulkay Cardiology Consultants,"15 Ver Valen St, Closter, New Jersey, 07624, United States",02 Sep 2023,60 GB,"<p><strong>Angel J. Mulkay, MD</strong>, cardiac and peripheral interventionalist founded Mulkay Cardiology Consultants more than a decade ago.</p>
<p><strong>The network was successfully encrypted and compromised.</strong><br>We have over<strong> 60 GB of confidential and personal data on</strong> <strong>over 30,000 patients</strong> and more:<strong><br></strong>payments, receipt, report, insurance cards, <strong>patient data (name dob phone insured ID adress etc)</strong>, medical cards, medical records, access cards, driver's licenses, Covid certificates, patient diagnostic data and thousands of other confidential and critical documents.<strong><br></strong></p>
<p><strong>Bye Bye!<br></strong></p>"
Waterloo Media,"8309 N Interstate 35, Austin, Texas, 78753, United States",20 Sep 2023,50 GB,"<p><strong>Waterloo Media</strong> is connected to the Austin community with a reach that is unparalleled. We create marketing plans that deliver results for our clients and use our local footprint to help advertisers engage with potential customers in meaningful ways.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>If the company management does not contact us as soon as possible, we leak data such as:<br>Agreements, personal data of employees and customers, hundreds of resumes, taxes, accounting, HR, sales, reports, engineering and tens of thousands of other documents.</p>
<p><strong>Bye Bye!<br></strong></p>"
Effigest Capital Services,"20 Rue Schnapper, Saint-Germain-en-Laye, Ile-de-France, 78105, France",01 Oct 2023,46 GB,"<p><strong>Effigest</strong> is an accounting and consulting company!<br><br><strong>The company's servers were successfully encrypted and compromised.</strong><br>The guys do not take the situation seriously and do not comply with our demands, so <strong>we are leaking 50% of the data</strong> and giving them time until the end of the week!<br>If we do not get what we agreed on, you will see a full data leak here, and all your clients, partners and employees will be informed that you do not care about the security of their data and you have chosen the path of data leakage.<br><strong><br>Bye Bye!</strong></p>"
Scara,"Zi De Villette, Arcis-sur-aube, France",21 Sep 2023,62 GB,"<p><strong>SCARA (Soci&eacute;t&eacute; Coop&eacute;rative Agricole de la R&eacute;gion d&rsquo;Arcis-sur-Aube)</strong> is an agricultural cooperative which extends over 30 kilometers around Arcis sur Aube near Troyes. For 100 years, it has focused its activity on the collection and marketing of cereal crops .<br><br><strong>The company was successfully encrypted and compromised.</strong><br>We have <strong>over 60GB of data</strong> such as:<br>Passports and ID cards!<br>Hundreds of confidential agreements and contracts!<br>Downloaded data from more than 20 employee PCs!<br>Personal information and photos of employees, personal information of clients!<br>Drawings, certificates, finances, taxes, budgets and tens of thousands of other confidentially important and sensitive data.<br><strong><br>Bye Bye!</strong></p>"
Leekes Ltd,"Beanacre Rd, Melksham, Wiltshire, SN12 8AG, United Kingdom",17 Sep 2023,342 GB,"<p><strong>Leekes Ltd</strong> is a Welsh retailer based in South Wales, South West England and The Midlands. The company was founded in 1897, and currently has seven operating stores.</p>
<p><strong>The company's network was successfully encrypted and compromised.</strong><br>The company's management chose the path of lies and does not admit that their network was compromised, but we have tens of thousands of documents that can confirm this. If you continue to remain silent we will publish <strong>342GB of data</strong>, for example we have:<br>Hundreds of passports, ID cards, driver's licenses!<br>Personal information of employees, clients, management!<br>Customers. A complete package of data on working with customers.<br>Confidential agreements, contracts, reports, supplier profiles, hundreds of certificates etc!<br>Finance, taxes, analytics, budget, accounting, banking, including personal banking information!<br>Engineering, export and import, HR, declarations, thousands of scans, backup data and tens of thousands of other confidential and important data.<br><strong><br>Bye Bye!</strong></p>"
BPR Properties LLC,"2485 Penny Rd Ste 140, High Point, North Carolina, 27265, United States",16 Sep 2023,100 GB,"<p><strong>BPR Properties</strong> was founded in 1983, with the purchase of our first property: a smoke shop in Staten Island, New York.&nbsp;Since our humble beginnings, BPR Properties has acquired and developed nearly 100 hotels, developed over 2000 acres in commercial and residential real estate, and grown into the sophisticated company that it is today.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>If management continues to remain silent and is not going to contact us, then <strong>100GB of confidential data</strong> will be published on the network, such as:<br>HR, Accounting, reports, audits, confidential agreements and contracts, personal information of employees, development, legal doc, insurance, finance, tax, budget, and tens of thousands of other confidential and important documents.</p>
<p><strong>Bye Bye!</strong></p>"
Powerhouse Retail Services LLC,"812 S Crowley Rd Ste A, Crowley, Texas, 76036, United States",20 Sep 2023,21 GB,"<p>From facilities maintenance to exterior services, rollout and refresh programs, <strong>Powerhouse</strong> is your turnkey solution for commercial infrastructure maintenance and enhancement services. We leverage unparalleled service and technology to implement solutions that enable our customers to maximize brand presence and profitability</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>The company's management not contacted us, so we are warning you that <strong>more than 20GB of confidential and sensitive data</strong> was stolen from your network, such as:<br>Agreement and contracts!<br>Full project list and project!<br>Thousands of legal documents!<br>Banking, tax, budget and finance sector!<br>Confidential information about employe, customer, vendor and management, DL IDcard etc!<br>Report and audit, payments, invoice, check, isurance, license, incident report, ATM circuit and blueprints, SVW docs &nbsp;and tens of thousands of other critical and sensitive company data.</p>
<p><strong>Enjoy Guys(:</strong></p>"
GEACAM,"27 Hnos. Becerril, Cuenca, Castille-La Mancha, 16004, Spain",06 Oct 2023,71 GB,"<p>The public company Environmental Management of Castilla-La Mancha (<strong>GEACAM</strong>), integrated into the Ministry of Sustainable Development, faces a new stage in which it must regain its leadership role in the comprehensive management of the Environment of our region, in coordination with all and each of the departments of the Government of Castilla-La Mancha, local and provincial entities, companies in the sector and private owners, involved in sustainable rural development.<br><br><strong>Last Warning!!!<br>The guys decided to play with us. OK! We can also play a game with you called &ldquo;get in touch if you don&rsquo;t want all the company data to leak&rdquo;</strong><br><strong>We have more than 70GB of confidential and sensitive company data, which data you already know :)</strong><br><strong>If you do not contact us, we will immediately perform a full data leak, without warning and without additional time!<br><br>Bye!<br></strong></p>"
Kentie Systeemtechniek BV,"113 Noordeinde, Hendrik-ido Ambacht, Zuid-holland, 3341LW, Netherlands",25 Sep 2023,27 GB,"<p><strong>Kentie Systeemtechniek BV</strong> is a company that operates in the Machinery industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Hendrik-ido Ambacht, Zuid-holland, Netherlands.<br><br><strong>The company was successfully encrypted and compromised.</strong><br>We have<strong> over 20GB</strong> of data such as:<br>Agreements, reports, backup data, databases, software, and other information.</p>
<p><strong>Bye!</strong></p>"
