company_name,company_address,created_at,available_data,text
Küng Ag Bern,"28 Weyermannsstrasse, Bern, Bern, 3008, Switzerland",10 Sep 2023,31 GB,"<p><strong>K&uuml;ng Ag Bern</strong> handle the wholesale trade and distribution of mineral oil products under the AVIA brand. We have significant storage space in the Bern area. Our customers can refuel cashless using the AVIA card at over 550 AVIA gas stations with over 100 shops throughout Switzerland. We advise and supply our customers with high-quality AVIA lubricants every day .<br><br><strong>The company was successfully encrypted and compromised.</strong><br>The company's management decided to keep silent about the fact that the servers were compromised and do not contact us, so we want to remind you what will happen if you do not contact us, <strong>31GB of data</strong> will be published first, for example, we have:<br>Personal photos of employees, completely compromised employee PCs !<br>Banking, statements, insurance, invoices, payments, finance, Budget from 2008 to 2023!<br>Statements of consent, agreements, contracts, guarantee certificates, leasing documents, personnel!<br>Personal data of employees and clients - passports, driver's licenses, IDcard, client list first/last name adress, dob, phone, mail, etc.<br>And tens of thousands of other confidential and sensitive company doc.</p>
<p><strong>Bye!</strong></p>"
Kool-Air Inc,"19 Beauvais, Delson, Quebec, J5B 1W5, Canada",14 Sep 2023,100 GB,"<p>Kool-Air&rsquo;s management team is experienced in all phases of manufacturing, sales and marketing of superior quality refrigeration products for commercial, industrial and institutional applications. Typical applications of Kool-Air products are: refrigerated warehouses, food processing, pharmaceuticals, arenas, supermarkets, convenience stores, restaurants, computer rooms and many more.<br><br><strong>The network was successfully encrypted and compromised.</strong><br><strong>We have 100GB of data</strong>, for example:<br>Software, backup data!<br>Finance, sales, reports!<br>Data was stolen from employee user PCs!<br>Drawings, serial numbers and thousands of documents about the company's products!<br>80,000 documents on working with clients, their orders, contact information, personal data, etc.!<br>Certificates and many other important company information.<br><strong><br>Bye!</strong></p>"
IKP,Museumstraße 3/5 1070 Wien Austria,10 Sep 2023,50 GB,"<p>Three letters with a big impact &ndash; <strong>ikp</strong> is one of the leading communications agencies in Austria and has won many awards. From classic media work to digital communication &ndash; we are equipped for your communication challenges.<br><br><strong>If you continue to remain silent we will publish 50GB of data such as</strong>:<br>Passports of employees and clients as well as their personal information phone mail name dob etc, <br>Many confidential documents and confidential agreements, contracts and NDA!<br>Financial sector, profit and loss accounting, budget, accounting, tax etc!<br>Insurance, invoices, customer service data and much other confidential and sensitive information stolen from the company&rsquo;s servers!<br><strong><br>Bye!</strong></p>"
Fondation Vincent De Paul,"15 Rue Toussaint, Strasbourg, Grand-Est, 67000, France",07 Sep 2023,34 GB,"<p>Created by the Congregation of the Sisters of Charity of Strasbourg, the <strong>Vincent de Paul Foundation</strong> was recognized as a public benefit by a resolution of the Council of State of December 26, 2001.<br><br><strong>The foundation's network was successfully compromised and encrypted.</strong><br>If the company&rsquo;s management decides to continue to remain silent about this incident, then we will publish <strong>more than 30GB of data stolen</strong> from the network, such as:<br>Passports, patient files and their medical records, list of applications for admission, photos and personal information of clients, registration forms, documents related to working with patients, letters, databases, backup data, insurance cards, payments, invoices, budgets, contracts, and much other important and confidential information.</p>
<p><strong>Bye!</strong><br><br></p>"
International Joint Commission,"1717 H St NW Ste 835, Washington, District of Columbia, 20006, United States",07 Sep 2023,80 GB,"<p>Canada and the United States created the <strong>International Joint Commission</strong> because they recognized that each country is affected by the other's actions in lake and river systems along the border. The two countries cooperate to manage these waters and to protect them for the benefit of today's citizens and future generations.<br>The IJC has two main responsibilities: approving projects that affect water levels and flows across the boundary and investigating transboundary issues and recommending solutions.The IJC's recommendations and decisions take into account the needs of a wide range of water uses, including drinking water, commercial shipping, hydroelectric power generation, agriculture, ecosystem health, industry, fishing, recreational boating and shoreline property.<span style=""color: rgb(51, 51, 51); font-family: Roboto, Helvetica, Arial, sans-serif; font-size: 17.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br><br></span><strong>The IJC network was successfully encrypted and compromised.</strong><br>We have <strong>more than 80GB of data</strong>, namely:<br>Confidential documents, legal documents, contracts, personal information of members and employees, memorandums, conflict of interest documents, hundreds of contracts, geological documents, banking, finance, insurance and much other confidential and sensitive information.<span style=""color: rgb(51, 51, 51); font-family: Roboto, Helvetica, Arial, sans-serif; font-size: 17.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br><br></span><strong>Bye!</strong><span style=""color: rgb(51, 51, 51); font-family: Roboto, Helvetica, Arial, sans-serif; font-size: 17.3333px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br></span></p>"
"EDUCAL, SA de CV","450 Av. Ceylán, Mexico City, Mexico City, 02660, Mexico",07 Sep 2023,50 GB,"<p><strong>EDUCAL</strong> was established on January 29, 1982 as a public limited company with variable capital, with the corporate purpose of designing teaching materials that supported the National Educational System.&nbsp;In 1987 he was assigned the resources and functions of &ldquo;El Correo del Libro&rdquo;.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>We have <strong>50GB data</strong> such as:<br>Id card, inventory reports, memorandum, contracts, HR, commission documents, audit, completely copied employee PCs, financial sector, client portfolios, reports, databases and much other important information.</p>
<p><strong>Last Warning!!!</strong><br>If the company management does not contact us as soon as possible, all stolen data will be published and encrypted files will be irretrievably destroyed.<br><strong>Time is running out.</strong></p>"
"AdSage Technology Co., Ltd.","10500 NE 8th St Ste 1160, Bellevue, Washington, 98004, United States",03 Sep 2023,31 GB,"<p>Beijing <strong>AdSage Technology Co., Ltd. (AdSage/adSage)</strong> was established in 2007. It is famous for its big data mining and precision marketing. It is the ""CNAAⅠ"" certification of the China Advertising Association and one of the top 100 Internet companies in China.&nbsp;The company has 300+ employees, is headquartered in Beijing, and has branches in Shanghai, Wuxi, Shenzhen, Seattle, Los Angeles and other places. It is committed to providing customers with SEM, SEO services, application distribution, information flow, super APP, and DSP precision advertising. , social video advertising and other one-stop digital integrated marketing services.</p>
<p><strong>The company was successfully compromised and encrypted.</strong><br>Management denies an attack on adSage Corporation, but we are ready to provide evidence an compromised data.<br>We have <strong>over 30GB</strong> of data:<br>log data, report files, backup data and much other sensitive company information.</p>
<p><strong>Bye!</strong></p>"
Altmann Dental GmbH & Co KG,"3 Schützenstr., Bamberg, Bayern, 96047, Germany",02 Sep 2023,18 GB,"<p><strong>Altmann Dental GmbH &amp; Co. KG</strong> is one of the leading dental depots in the industry.&nbsp;As a family business, we have been supporting dentists and dental laboratories in their daily challenges for over 100 years, now in the 3rd generation.<br><br><strong>The company was successfully compromised.</strong><br>More than <strong>18GB of data</strong> was stolen from the company&rsquo;s servers, such as:<br>confidential documents, contracts and agreement, invoices, insurance, finance, banking, client data, and much other sensitive information.</p>
<p><strong>Bye!</strong></p>"
HBME LLC,"559 W 500 S, Bountiful, Utah, 84010, United States",28 Aug 2023,25 GB,"<p><strong>HBME LLC</strong> is an accounting company that provides tax planning, consultation, business accounting and IRS audit representation services.</p>
<p><strong>We have 25GB of service data from 2003-2023 over 50 companies that are HBME customers</strong>, this data includes:<br>Personal data of clients (name, adress, dob, cellphone)<br>Personal and Consolidated Financial Statements<br>Agreement, access, invoices, banking, accounting, financial indicators, payments, insurance, thousands of tax documents, backup data, certificate, etc.</p>
<p><strong>Bye!</strong></p>"
Omniatel,"4 Via Del Bollo, Milano, Lombardy, 20123, Italy",28 Aug 2023,360 GB,"<p>The Rome branch was opened in 2004 to satisfy requirements connected with management and planned development of the market inCentral Italy. In April, 2005, just five years after incorporation and in view of the high turnover, the company stakeholders decided to convert it into a joint-stock company.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>We&nbsp;<strong>stolen 360GB of confidential data</strong>, such as:<br>10,000 invoice!<br>HR - downloaded over 10PCs data!<br>Legal documents!<br>Passports, ID cards, etc!<br>Court and prosecutor's documents!<br>Contracts, agreements, finance, banking, client data, backups, Outlook data, access, and many other confidential documentation.</p>
<p><strong>Bye!</strong></p>"
Infinity Construction Company,"18440 Cranwood Parkway Warrensville Hts., OH 44128",04 Sep 2023,30 GB,"<p><strong>Infinity Construction Company</strong> provide General Contracting, Construction Management, and Design-Build services throughout the State of Ohio.&nbsp; Our major markets include Healthcare, Office, Education, Public and Non-Profit, Sports/Recreation and Retail.&nbsp; Our headquarters is a 25,000-sf office and shop/warehouse facility in Warrensville Heights, Ohio.<br><br><strong>We are glad to inform you that the company was successfully compromised.</strong><br>We have <strong>30GB of data</strong> such as:<br>Customer data!<br>Analytics 2015-2022, invoices, finance!<br>All contracts and agreements of the company from 2018 to 20223!<br>Resumes of all employees of the company and personal information!<br>Projects, drawings, reports, questionnaires, photos of objects!<br>Marketing, certificates, insurance, RFQ document and a lot of other confidential information.</p>
<p><strong>Bye Bye.</strong></p>"
Northwave s.r.l.,"Via Levada 145, 31040 Onigo di Pederobba (TV), Italy",28 Aug 2023,250 GB,"<p>At <strong>Northwave</strong> we pour all our energy into one and one thing only: creating the finest products for sport in the mountains. With a single-minded focus, we create innovative products, unmatched in terms of performance, quality, design and style.<br><br><strong>The company is successfully encrypted and compromised.</strong><br>We have <strong>248GB of data</strong>, namely:<br><span style=""text-decoration: underline;"">230GB Outlook Data</span><br><span style=""text-decoration: underline;"">LogData from 1998to20223</span><br><span style=""text-decoration: underline;"">Over 10.000 file Order Confirmation</span><br><span style=""text-decoration: underline;"">Over 50.000 file Transport Documents</span><br><span style=""text-decoration: underline;"">Over 90.000 file Credit Note&amp;Invoice</span><br><span style=""text-decoration: underline;"">Over 50.000 file Shipping order</span><br><span style=""text-decoration: underline;"">Over 1.500 file Weekly report</span><br><span style=""text-decoration: underline;"">Over 800 file Customer account statement</span><br>And many other important and confidential company documents.</p>
<p><strong>Bye Bye.</strong></p>
<p><br><br></p>"
Pasquale Bruni Ltd,"350 5th Ave Fl 41, New York City, New York, 10118, United States",26 Aug 2023,118 GB,"<p><strong>Pasquale Bruni Ltd</strong> is a company that operates in the Luxury Goods &amp; Jewelry industry. It employs 51-100 people and has $10M-$25M of revenue.<br>For two generations we have created the most exceptional pieces of jewellery for women all over the world. Every creation uniting the nobility of metal and precious stones in a family owned and managed workshop in the heart of Italy. Each day we bring our knowledge, independent spirit and experience to the studio and workshop in a labour of love.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>We've been in company network long enough to steal the most important documents from the servers.<br>Now we have <strong>118GB of data</strong> at our disposal, such as:<br><span style=""text-decoration: underline;"">15GB of Outlook data!</span><br><span style=""text-decoration: underline;"">Contract and agreements!</span><br><span style=""text-decoration: underline;"">Credit cards cc+exp+cvv!</span><br><span style=""text-decoration: underline;"">Passports, ID and Europass!</span><br><span style=""text-decoration: underline;"">Media plans, presentations etc!</span><br><span style=""text-decoration: underline;"">Over 1,000 customer purchase documents!</span><br><span style=""text-decoration: underline;"">Personal and work correspondence of employees!</span><br><span style=""text-decoration: underline;"">Finance, budget, accounting, banking, invoices, reports!</span><br><span style=""text-decoration: underline;"">Full data about employees and clients in different countries of the world!</span><br><span style=""text-decoration: underline;"">A complete analysis of boutique sales in different countries of the world!</span><br><strong>And dozens of gigabite of other sensitive and important company data.<br><br>Bye Bye.<br></strong></p>"
Ningbo Yinzhou Vocational High School,"Yinzhou Senior Vocational High School, Longshan Village, Meixu Road, Yinzhou District, Ningbo City, Zhejiang Province",18 Aug 2023,7 GB,"<p><strong>Ningbo Yinzhou Vocational High School<br></strong>The school was founded in 1952. In April 1981, the school was approved by the Zhejiang Provincial People&rsquo;s Government as one of the first batch of 18 key middle schools in the province. In 1995, the school became the first batch of provincial key high schools that passed the acceptance.<strong><br style=""box-sizing: inherit; color: rgb(51, 65, 85); font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen-Sans, Ubuntu, Cantarell, 'Helvetica Neue', sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""></strong>As of February 2014, the school covers an area of approximately 208.61 acres, with a total construction area of 69,300 square meters, 30 classes, more than 1,500 students, and 198 faculty members.<br><br><strong>If the management does not contact us, then we leak data such as:</strong><br>Contracts, finance, budget, tax documents, pension benefits, banking, photos of students and their data, diplomas ,certificates and many other confidential information.<br><strong><br>Bye Bye.<br></strong></p>"
Rs Logistics Ltd,"30 N Gould St, Sheridan, Wyoming, 82801, United States",28 Aug 2023,3 GB,"<div data-mesh-id=""comp-jifelh47inlineContent-gridContainer"" data-testid=""mesh-container-content""><strong>RS Logistics Limited </strong>is a fast growing customer-oriented firm in the logistic industry. Founded in 2003, we started our business in Hong Kong as corporate headquarter with a vision to provide worldwide logistics services to clients. Today, RS serves various destinations and becomes one of the leading logistics providers from the major ports in PRC and South East Asia.<br><br><strong>The company was successfully encrypted and compromised.<br></strong>The company's management is hushing up this incident, but we can say something else, because we have <strong>more than 4,000 e-mail documents</strong>, there is a lot of interesting information inside :)<br><strong><br>Bye Bye.</strong></div>"
"GORDON, MUIR & FOLEY LLP","1344 Silas Deane Highway, Suite 501, Rocky Hill, CT  06067",28 Aug 2023,5 GB,"<p><strong>Gordon, Muir &amp; Foley</strong> represents diverse clients in a broad range of practice areas.&nbsp; Founded in 1947, we are dedicated to creative and efficient legal solutions tailored to the needs of each client. Open communication is the key to quality decisions and successful resolution. We work closely and carefully with every client we serve.<br><br><strong>The company was successfully encrypted and compromised. </strong><br>Any statements by the management that this is not true can be considered a lie. We have more than&nbsp;<strong>5 GB of data</strong>, for example:<br>Insurance, customer and employee data, legal documents, invoices, licenses, contracts, finances, banking, reports, customer service documents, arbitrations, compensations and many other confidential and important information.<br><br><strong>Bye Bye.</strong><br><br></p>"
Fiocruz,"1510 Rua 2 De Setembro, Blumenau, Santa Catarina, 89000-000, Brazil",18 Aug 2023,754 GB,"<p><strong>The Institute of technology in Immunobiology (Bio-Manguinhos) is the technical-scientific unit of the Oswaldo Cruz Foundation (Fiocruz)</strong> that produces and develops immunobiological solutions to meet the demands of public health.<br><br>The company's main servers were successfully encrypted and compromised.<br>The company's management, led by Paulo Gadelha and Mauricio Zuma, took the side of the lie and denied that the company had been compromised. This is the worst outcome for you, because we have about <strong>754GB of data stolen</strong> from your servers, namely:<br>Over 200GB of backups and databases!<br>Over 10GB of projects!<br>Hundreds of certificates!<br>Notarized and legal documents!<br>Financial sector, banking, tax etc!<br>Legal declarations and income tables!<br><span style=""text-decoration: underline;"">Sexual harassment, sexual harassment reports!</span><br>Hundreds of confidential agreements and contracts!<br><span style=""text-decoration: underline;"">HR - Sensitive and confidential data of clients and partners, passports, identity cards, contact , dob, mail etc!</span><br>Immunization cards, patient documents, patient requests for cannabis, cannabis use by patients, statements, reports, incidents, insurance, and hundreds of gigabytes of other critical and confidential documents of both the company and customers, partners, employees, etc.</p>
<p><strong>The guys choose the path of data leakage, ok, get it :) Now all your clients and partners will see your attitude towards the confidentiality of their data.<br>Bye Bye.<br></strong></p>"
Iina Ba Inc,"PO Box 2606 Farmington, New Mexico 87499",23 Aug 2023,18 GB,"<p><strong>Iina Ba Inc is </strong>a company that operates in the Civil Engineering industry. It employs 21-50 people and has $5M-$10M of revenue.<br>Our mission is to provide innovative solutions to environmental demands, designed through a positive goal oriented structure centered around a dedicated teamwork foundation.&nbsp; This continuing philosophy enables development of values and individuals resulting in our ultimate goal of complete and total customer satisfaction.<span style=""color: rgb(1, 13, 57); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br></span><br>The company's management does not want to cooperate with us, so all the data will be published soon.<br>We have <strong>18GB of data</strong> for example:<br>Data analysis, confidential documents, client data, engineering, finance, agreements, contracts, projects, invoices, employee data and many other confidential information.<span style=""color: rgb(1, 13, 57); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br><strong><br></strong></span><strong>Bye bye.</strong><span style=""color: rgb(1, 13, 57); font-family: Montserrat, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;""><br></span></p>"
Gujarat Industries Power Company Ltd.,"P.o. Petrochemicals, Vadodara, Gujarat, India",21 Aug 2023,45 GB,"<p><strong>Gujarat Industries Power Company Limited</strong> generates and sells electricity primarily to power purchasing companies in India. The company generates power through gas, lignite, wind, and solar power plants with combined installed capacity of 1184.4 MW at Vadodara plant.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>We have over <strong>45GB of data</strong>, namely:<br>Contracts and agreements!<br>Invoices, banking, finance!<br>Passports, cards, ID, insurance!<br>Lists of clients and information about them!<br>Confidential documents, license, company legal documents!<br>Engineering, backup data, medical certificates, audits, reports and tens of thousands of other confidential and important company documents.</p>
<p><strong><strong>Enjoy.</strong></strong></p>"
Infuance Communication Inc,"505, boul. of Maisonneuve West,  Bureau 200  Montreal (Quebec) Canada  H3A 3C2",13 Aug 2023,785 GB,"<p>Founded in 2001, <strong>Influence Communication</strong> is the largest 100% Quebec news broker.&nbsp;For 18 years, public and parapublic organizations at various levels of government, large Quebec, Canadian and foreign companies as well as public relations agencies have entrusted Influence with the task of fulfilling their various media monitoring and analysis needs.&nbsp;Influence Communication offers comprehensive monitoring, aggregation and analysis of newspapers, magazines, radio, television, news wires and news websites.<br><br>The company was successfully encrypted and compromised.<br>We have<strong> 785 GB</strong> of backup data.</p>
<p><strong>Bye Bye:)</strong></p>"
FYTISA Industrial Felts and FabricsSL,"Head Office c/Orient, 78-84 2» Floor 16-17 08172 SANT CUGAT DEL VALLÈS Barcelona - SPAIN",13 Aug 2023,27 GB,"<p><strong>Fytisa</strong> produces nowoven fabrics since 1964. Our team works to offer the quality, service and innovation that our clients require.<br><br>The company was successfully encrypted and compromised.<br>We have <strong>27GB of data</strong>, namely:<br>Insurance, certificates, declarations, technical passports, contacts and personal data of customers and employees, loans and banking company data, developments, projects, backup data, invoices and many other confidential company information.<br><span style=""text-decoration: underline;""><strong><br>Bye Bye.</strong><br></span></p>"
"Softverg Co., Ltd.","2nd floor, 13, Teheran-ro 69-gil, Gangnam-gu, Seoul",18 Aug 2023,13 GB,"<p><strong>Softverg Co., Ltd.</strong> is a young company that transacts<br>with leading domestic companies through domestic and foreign software partnerships (microsoft enterprise partner, Hancom Large partner, erwin master reseller, Ahn Lab dealer, OpenText exclusive distributor).<br>We have achieved sales performance of KRW 100 million and are preparing to leap forward for the future in line with the new IT environment with the goal of 30% growth this year.</p>
<p>The management of the company makes a big mistake by not contacting us. All your projects and development will not be able to be decrypted by third-party software. <br>Also, <strong>13GB of data </strong>was compromised from your servers, namely:<br>Pack of documents for certificate renewal, database since 2004, financial statements, insurance policies, contracts, agreements, passports and many other confidential information.</p>
<p><strong>Bye Bye.</strong></p>"
QI Holdings Ltd.,"Unit F, 26/F, MG Tower, 133 Hoi Bun Road, Kwun Tong, Kowloon East, Hong Kong",28 Aug 2023,3 GB,"<p>Today, the <strong>QI Group</strong>, headquartered in Hong Kong, is a diversiﬁed multinational entity with a wide range of subsidiary companies in nearly 30 countries. We keep pace with exponentially-growing technology and expand through tactical investments leading to the creation of interrelated ventures, services and products that take the QI Group across the globe.</p>
<p><strong>During the attack on QiGroup, madacan.mg also suffered.</strong><br>The companies were successfully encrypted and compromised.<br>We have data like:<br>Passports, visa, certificates, contracts, agreement, personal photos of employees, logistics, inventory, sales, backup data, archive, finance, invoices, photos, audit, taxes and many other confidential information.<br><br><strong>Bye Bye.</strong></p>"
Fondation De Verdeil,"38 a Av. Du Grey, Lausanne, Vaud, 1000, Switzerland",08 Aug 2023,40 GB,"<p>The <strong>Verdeil Foundation</strong> provides specialized pedagogy services to children and adolescents with various developmental and learning delays, with disabilities or in difficulty.<br>500 employees cooperate within our various structures on a daily basis, for more than 800 children and young adults from 0 to 20 years old.</p>
<p>The management of the foundation decided to hide the fact of hacking their network and compromising data, Mrs. Florence Renggli as President of the Verdeil Foundation, we advise you to think carefully about all the risks of data leakage, make the right decision and contact us otherwise all the data that we have will be published and made public. And this is <strong>40GB of compromised data</strong> such as:<br>Personal data of clients!<br>Personal data of employees!<br>Contracts and hundreds of agreement!<br>Passports and &nbsp;credit cards CC + CVV + EXP!<br>letters of illness, insurance documents, insurance cards!<br>Financial sector, personal correspondence, medical certificates and more, hundreds of photos of children and documents related to children, banking and many other sensitive information.<br><br><strong>Florence Renggli decided to show the whole world that she doesn't care about the data of students, employees and partners.<br>Bye Bye.<br></strong></p>"
FTRIA CO. LTD,"Yomiuri Kawasaki Fujimi Building B1 5F, 1-6-3 Fujimi, Kawasaki-ku, Kawasaki-shi, Kanagawa 210-0011",09 Aug 2023,8 GB,"<p><strong>FTRIA CO., LTD</strong> is a company specializing in the field of electrical equipment, telecommunications equipment, etc. The number of employees of the company as of April 1, 2021 consisted of 134 people.</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>We advise the company's management to contact us because we have <strong>7GB of data</strong>, such as:<br>confidential contracts, work site data, client data, contracts, financial sector, construction contracts, engineering, estimates, reports, price lists, certificates, backups, health insurance cards, and many other important information.<br><br><strong>So. Company management don't give a fuck about their employees and their personal information.<br>We advise people who cooperate with this company to reconsider their attitude towards management and cooperation with FTRIA CO., LTD<br>Bye Bye:)</strong></p>"
Lower Yukon School District,"100 AIRPORT RD  PO Box 32089  MOUNTAIN VILLAGE, AK 99632",05 Aug 2023,8 GB,"<p>The ten villages that comprise the<strong> Lower Yukon School District</strong> are spread across 22,000 square miles. The Yukon River, one of the largest rivers in North America, winds through our yards on its way to the Bering Sea.<br>The purpose of our District's learning community is to ensure tradition, culture and a quality of education for all of our children.</p>
<p><span style=""text-decoration: underline;""><strong>Bye bye.<br></strong></span></p>
<p>&nbsp;</p>"
John L Lowery & Associates,"9348 S Choctaw Dr, Baton Rouge, Louisiana, 70815, United States",07 Aug 2023,62 GB,"<p style=""text-align: justify;""><strong>John L. Lowery &amp; Associates, Inc.</strong> was organized in 1964 to provide versatile and comprehensive engineering and technical services for the petrochemical industry.&nbsp; We have grown and now employ all levels of professional and technical personnel such as inspectors, engineers, designers, drafters, analyzer technicians, etc.&nbsp; We work throughout the United States and abroad.&nbsp; The objective of our firm is to provide experienced, technical people in these various areas to help our clients maintain quality assurance, quality control, construction schedules, and as a result increase productivity.</p>
<p>The management of the company makes a big mistake by not contacting us. The amount of data that we have can cause devastating damage to your small company.<br>We have over <strong>70,000 files stolen</strong> from your servers, for example:<br>NDE certificates !<br>Car insurance, social security card!<br>Confidential documents and contracts!<br>Documents on certification of personnel!<br>Client/partner data dob ssn id phone mail etc!<br>Data from employee PCs as well as their personal data!<br>Incident reports at work, licenses, audits, reports, engineering, audit files from 2012 to 2021, drawings and a lot of other critical company information.</p>
<p><strong><strong>Enjoy.</strong></strong></p>"
Republican Vilnius Psychiatric Hospital,"Parko st. 21, LT-11205 Vilnius",30 Jul 2023,37 GB,"<p><strong>Republican Vilnius Psychiatric Hospital (RVPL)</strong> is the largest and widest range of mental health care institution in Lithuania. More than 600 employees work in the hospital, and professional assistance is provided to more than 7,000 people every year patients.</p>
<p>The management wants to hide the fact that their servers were encrypted and compromised, this is a bad idea because we have such data as:<span style=""text-decoration: underline;""> finances, taxes, personal data of patients, medical records of patients, procedures for admission, treatment and discharge of patients, hundreds of agreements, contracts, documents of employees as well as documents on hiring employees, hygiene passports, health passports, passports of clients and employees, and a lot of other confidential information related to both clients and the company itself.</span></p>
<p><strong>The company has made its choice. Enjoy.</strong></p>"
Avertronics Inc,"No. 10, 19th Road, Industrial Park, Nantong District, Taichung City",27 Jul 2023,50 GB,"<p><strong>Avertronics INC</strong> offers the processing of connecting elements, connecting wire modules, wireless application modules, system products, and related technology for the electronic, electrical, mechanic, photonics and health care industries.&nbsp;</p>
<p><strong>The company was successfully encrypted and compromised.</strong><br>We have data like:<br>accounting books and all accounting of the company for 2023, protocols, non-disclosure agreements, confidential agreements and contracts, customer data, as well as many other confidential and sensitive documents for the company.</p>
<p><strong>The company has made its choice. Enjoy.</strong></p>
<p>&nbsp;</p>"
CASTEC Inc,"1462 Delberts Dr, Monongahela, Pennsylvania, 15063, United States",11 Jun 2023,10.9 GB,"<p>CASTEC, INC. equipment line was acquired from CE-CAST Industrial Products. CASTEC, INC. personnel have experience ranging from 15-35 years in chemically bonded products and equipment, installation, services, and design engineering.</p>"
Grupo SCA - Business Information,"C/Raimundo Fcez. Vallaverde, 61 5ª Planta – 28003 Madrid",25 Jul 2023,291 GB,"<p><strong>Grupo SCA</strong> is a national consulting company specializing in solutions and consulting, operating on the market for more than twenty years. Our management team has been trained by multinational firms in the sector and our experience, working methods and service levels have enabled us to retain the clients we have worked with.</p>
<p>The management of the company wants to hide the fact that their servers have been encrypted and compromised, this is a bad way because we have more than <strong>290GB of data</strong>.<br>The data that we have is databases, mysql, backups, contracts, &nbsp;confidential documents and agreement, client data that fall under the law (GDPR), customer service documents, NDA, tax documents, finance, banking and this is just the tip of the iceberg .<br><br><strong>Good Bye!</strong></p>"
Kreacta,"Via delle Industrie,  15 30175 Venice Marghera, Italy",01 Aug 2023,60 GB,"<p><strong>Kreacta</strong> are specialized in technical consultancy and2D/3D mechanical design of special and automatic machines, equipment, complete production lines, and installations for industrial production in general. We provide high-quality outsourcing services, and we support companies in developing new engineering projects.</p>
<p>The company's management is silent about the fact that their network was encrypted and compromised, but we can say something else, because we have a large amount of internal company data:<br>passports, identity cards, confidential internal documents of the company, confidentiality and non-disclosure agreements, accounting, budget, financial sector, banking, invoices, full details of customers and partners (phone numbers, mails, place of residence, etc.), contracts, about <strong>30GB of data for company projects</strong>, developments and work with clients, tax data, loans, sanitary certifications and much more.</p>
<p><strong>The data of the company is published in full.</strong></p>"
